episode,step,episodic_return,episode_length,elapsed_sec
1,50,-50.0,50.0,0.12547993659973145
2,100,-50.0,50.0,0.23912954330444336
3,150,-50.0,50.0,0.3326268196105957
4,200,-50.0,50.0,0.4160614013671875
5,250,-50.0,50.0,0.5071752071380615
6,300,-50.0,50.0,0.5972249507904053
7,350,-50.0,50.0,0.678410530090332
8,400,-50.0,50.0,0.7605774402618408
9,450,-50.0,50.0,0.8527107238769531
10,500,-50.0,50.0,0.9460892677307129
11,550,-50.0,50.0,1.0460100173950195
12,600,-50.0,50.0,1.134031057357788
13,650,-50.0,50.0,1.2267866134643555
14,700,-50.0,50.0,1.3202238082885742
15,750,-50.0,50.0,1.414222240447998
16,800,-50.0,50.0,1.5043516159057617
17,850,-50.0,50.0,1.5948729515075684
18,900,-50.0,50.0,1.6888277530670166
19,950,-50.0,50.0,1.792952060699463
20,1000,-50.0,50.0,1.888035535812378
21,1050,-50.0,50.0,1.9793126583099365
22,1100,-50.0,50.0,2.1048052310943604
23,1150,-50.0,50.0,2.2007246017456055
24,1200,-50.0,50.0,2.2871267795562744
25,1250,-50.0,50.0,2.3870668411254883
26,1300,-50.0,50.0,2.4942612648010254
27,1350,-50.0,50.0,2.585980176925659
28,1400,-50.0,50.0,2.6728014945983887
29,1450,-50.0,50.0,2.7598912715911865
30,1500,-50.0,50.0,2.867978096008301
31,1550,-50.0,50.0,2.9531097412109375
32,1600,-50.0,50.0,3.0350778102874756
33,1650,-50.0,50.0,3.135465621948242
34,1700,-50.0,50.0,3.2217893600463867
35,1750,-50.0,50.0,3.305607795715332
36,1800,-50.0,50.0,3.390878677368164
37,1850,-50.0,50.0,3.494495391845703
38,1900,-50.0,50.0,3.588689088821411
39,1950,-50.0,50.0,3.6896812915802
40,2000,-50.0,50.0,3.794893503189087
41,2050,-50.0,50.0,3.888139486312866
42,2100,-50.0,50.0,3.9831326007843018
43,2150,-50.0,50.0,4.088740348815918
44,2200,-50.0,50.0,4.19384241104126
45,2250,-50.0,50.0,4.280179977416992
46,2300,-50.0,50.0,4.374849319458008
47,2350,-50.0,50.0,4.49102783203125
48,2400,-50.0,50.0,4.597798585891724
49,2450,-50.0,50.0,4.693621635437012
50,2500,-50.0,50.0,4.777704954147339
51,2550,-50.0,50.0,4.868372678756714
52,2600,-50.0,50.0,4.955732345581055
53,2650,-50.0,50.0,5.061913251876831
54,2700,-50.0,50.0,5.1703407764434814
55,2750,-50.0,50.0,5.326596021652222
56,2800,-50.0,50.0,5.423253297805786
57,2850,-50.0,50.0,5.520146369934082
58,2900,-50.0,50.0,5.60764479637146
59,2950,-50.0,50.0,5.69847559928894
60,3000,-50.0,50.0,5.7918784618377686
61,3050,-50.0,50.0,5.878818988800049
62,3100,-50.0,50.0,5.962944984436035
63,3150,-50.0,50.0,6.053699254989624
64,3200,-50.0,50.0,6.1491172313690186
65,3250,-50.0,50.0,6.2532501220703125
66,3300,-50.0,50.0,6.35385274887085
67,3350,-50.0,50.0,6.469274044036865
68,3400,-50.0,50.0,6.573862552642822
69,3450,-50.0,50.0,6.6593663692474365
70,3500,-50.0,50.0,6.747528314590454
71,3550,-50.0,50.0,6.845679759979248
72,3600,-50.0,50.0,6.947734117507935
73,3650,-50.0,50.0,7.035725831985474
74,3700,-50.0,50.0,7.1600494384765625
75,3750,-50.0,50.0,7.275891065597534
76,3800,-50.0,50.0,7.400012493133545
77,3850,-50.0,50.0,7.522000789642334
78,3900,-50.0,50.0,7.638097047805786
79,3950,-50.0,50.0,7.735889911651611
80,4000,-50.0,50.0,7.826916456222534
81,4050,-50.0,50.0,7.924242973327637
82,4100,-50.0,50.0,8.010589122772217
83,4150,-50.0,50.0,8.098373413085938
84,4200,-50.0,50.0,8.204384565353394
85,4250,-50.0,50.0,8.313809156417847
86,4300,-50.0,50.0,8.422839879989624
87,4350,-50.0,50.0,8.526681423187256
88,4400,-50.0,50.0,8.61516547203064
89,4450,-50.0,50.0,8.693248271942139
90,4500,-50.0,50.0,8.77796983718872
91,4550,-50.0,50.0,8.857423067092896
92,4600,-50.0,50.0,8.946632385253906
93,4650,-50.0,50.0,9.05206298828125
94,4700,-50.0,50.0,9.136941194534302
95,4750,-50.0,50.0,9.22394585609436
96,4800,-50.0,50.0,9.307858228683472
97,4850,-50.0,50.0,9.397756576538086
98,4900,-50.0,50.0,9.47773790359497
99,4950,-50.0,50.0,9.565738677978516
100,5000,-50.0,50.0,9.65539264678955
