episode,step,episodic_return,episode_length,elapsed_sec
1,50,-50.0,50.0,0.07058310508728027
2,100,-50.0,50.0,0.13965082168579102
3,150,0.0,50.0,0.2072303295135498
4,200,-50.0,50.0,0.26034116744995117
5,250,-50.0,50.0,0.31594419479370117
6,300,-50.0,50.0,0.3714480400085449
7,350,-50.0,50.0,0.42290687561035156
8,400,-50.0,50.0,0.4746842384338379
9,450,-50.0,50.0,0.5256805419921875
10,500,-50.0,50.0,0.5755953788757324
11,550,-50.0,50.0,0.6396715641021729
12,600,-50.0,50.0,0.6954553127288818
13,650,-24.0,50.0,0.7524449825286865
14,700,-50.0,50.0,0.8081517219543457
15,750,-50.0,50.0,0.8603055477142334
16,800,-50.0,50.0,0.9122829437255859
17,850,-50.0,50.0,0.967120885848999
18,900,-50.0,50.0,1.0189440250396729
19,950,-50.0,50.0,1.0777676105499268
20,1000,-50.0,50.0,1.139500617980957
21,1050,-50.0,50.0,1.2186131477355957
22,1100,-50.0,50.0,1.2846932411193848
23,1150,-50.0,50.0,1.3458051681518555
24,1200,-50.0,50.0,1.4000155925750732
25,1250,-20.0,50.0,1.4569604396820068
26,1300,-50.0,50.0,1.5160870552062988
27,1350,-50.0,50.0,1.5699748992919922
28,1400,-50.0,50.0,1.6278693675994873
29,1450,-50.0,50.0,1.6823327541351318
30,1500,0.0,50.0,1.738692283630371
31,1550,-50.0,50.0,1.7915568351745605
32,1600,0.0,50.0,1.844231128692627
33,1650,-50.0,50.0,1.9006831645965576
34,1700,-50.0,50.0,1.996659278869629
35,1750,-50.0,50.0,2.0589170455932617
36,1800,-43.0,50.0,2.1590592861175537
37,1850,0.0,50.0,2.2466137409210205
38,1900,-50.0,50.0,2.3103203773498535
39,1950,0.0,50.0,2.3675944805145264
40,2000,-50.0,50.0,2.4213552474975586
41,2050,-50.0,50.0,2.4829940795898438
42,2100,-50.0,50.0,2.5598719120025635
43,2150,-50.0,50.0,2.6430418491363525
44,2200,0.0,50.0,2.7841391563415527
45,2250,-50.0,50.0,2.8632726669311523
46,2300,-50.0,50.0,2.9243927001953125
47,2350,-50.0,50.0,3.014183521270752
48,2400,-50.0,50.0,3.1646227836608887
49,2450,-50.0,50.0,3.3547885417938232
50,2500,-50.0,50.0,3.4809072017669678
51,2550,-50.0,50.0,3.5696182250976562
52,2600,-50.0,50.0,3.651752233505249
53,2650,-50.0,50.0,3.733595132827759
54,2700,-50.0,50.0,3.8130455017089844
55,2750,-50.0,50.0,3.900203227996826
56,2800,-50.0,50.0,3.9668095111846924
57,2850,-50.0,50.0,4.024503707885742
58,2900,-50.0,50.0,4.078247785568237
59,2950,0.0,50.0,4.178359031677246
60,3000,-50.0,50.0,4.298912286758423
61,3050,-50.0,50.0,4.43968391418457
62,3100,-50.0,50.0,4.573756217956543
63,3150,-50.0,50.0,4.633401155471802
64,3200,0.0,50.0,4.69604229927063
65,3250,-50.0,50.0,4.76918888092041
66,3300,-50.0,50.0,4.842035531997681
67,3350,-50.0,50.0,4.923153638839722
68,3400,-50.0,50.0,5.02786111831665
69,3450,-50.0,50.0,5.130906105041504
70,3500,-50.0,50.0,5.198488712310791
71,3550,-50.0,50.0,5.261107444763184
72,3600,-50.0,50.0,5.3136913776397705
73,3650,-50.0,50.0,5.364797592163086
74,3700,0.0,50.0,5.418664932250977
75,3750,-50.0,50.0,5.471770524978638
76,3800,-50.0,50.0,5.542901277542114
77,3850,-50.0,50.0,5.63163685798645
78,3900,-50.0,50.0,5.687759160995483
79,3950,-50.0,50.0,5.736888885498047
80,4000,-50.0,50.0,5.7864766120910645
81,4050,-50.0,50.0,5.836602449417114
82,4100,-50.0,50.0,5.89117693901062
83,4150,-50.0,50.0,5.947793483734131
84,4200,-50.0,50.0,6.004121541976929
85,4250,-50.0,50.0,6.055850267410278
86,4300,-50.0,50.0,6.1080591678619385
87,4350,-50.0,50.0,6.162137269973755
88,4400,-50.0,50.0,6.225470781326294
89,4450,-50.0,50.0,6.286792993545532
90,4500,-50.0,50.0,6.401722192764282
91,4550,-50.0,50.0,6.483675241470337
92,4600,-50.0,50.0,6.552904367446899
93,4650,-50.0,50.0,6.6220011711120605
94,4700,-50.0,50.0,6.679091691970825
95,4750,-50.0,50.0,6.730227947235107
96,4800,-50.0,50.0,6.779803991317749
97,4850,-50.0,50.0,6.830881357192993
98,4900,-50.0,50.0,6.882461309432983
99,4950,-50.0,50.0,6.933600902557373
100,5000,0.0,50.0,6.987275123596191
101,5050,-50.0,50.0,8.966855525970459
102,5100,0.0,50.0,9.95285964012146
103,5150,-50.0,50.0,11.22803020477295
104,5200,-50.0,50.0,12.378841876983643
105,5250,-50.0,50.0,13.799617052078247
106,5300,-50.0,50.0,15.079342365264893
107,5350,-50.0,50.0,16.486872673034668
108,5400,-50.0,50.0,17.53593945503235
109,5450,-50.0,50.0,18.578012943267822
110,5500,0.0,50.0,20.44804358482361
111,5550,-50.0,50.0,21.903655767440796
112,5600,-50.0,50.0,23.50881791114807
113,5650,-50.0,50.0,25.50563621520996
114,5700,-50.0,50.0,27.02582550048828
115,5750,-50.0,50.0,28.369153261184692
116,5800,-50.0,50.0,29.68046545982361
117,5850,-50.0,50.0,31.106725931167603
118,5900,-50.0,50.0,32.27611970901489
119,5950,-50.0,50.0,33.69880223274231
120,6000,-50.0,50.0,35.788763761520386
121,6050,-50.0,50.0,37.13593411445618
122,6100,-50.0,50.0,38.774059534072876
123,6150,0.0,50.0,40.35918974876404
124,6200,-50.0,50.0,41.89391469955444
125,6250,-50.0,50.0,43.243940114974976
126,6300,-50.0,50.0,44.57366943359375
127,6350,-50.0,50.0,45.79976511001587
128,6400,0.0,50.0,47.591126680374146
129,6450,-50.0,50.0,49.432286977767944
130,6500,-50.0,50.0,50.73951005935669
131,6550,-50.0,50.0,52.09373712539673
132,6600,-50.0,50.0,53.39680361747742
133,6650,-50.0,50.0,54.73956608772278
134,6700,-50.0,50.0,56.24106454849243
135,6750,-50.0,50.0,57.909597635269165
136,6800,-50.0,50.0,59.263994455337524
137,6850,-50.0,50.0,61.802982807159424
138,6900,-50.0,50.0,63.31362962722778
139,6950,-50.0,50.0,66.8540780544281
140,7000,-50.0,50.0,70.2062361240387
141,7050,-50.0,50.0,72.32018089294434
142,7100,-50.0,50.0,74.07378840446472
143,7150,-50.0,50.0,76.10803318023682
144,7200,-50.0,50.0,78.23519134521484
145,7250,-50.0,50.0,79.80913734436035
146,7300,-50.0,50.0,81.31093668937683
147,7350,-50.0,50.0,82.65312147140503
148,7400,-50.0,50.0,84.1737413406372
149,7450,-50.0,50.0,85.37607312202454
150,7500,-50.0,50.0,86.53582859039307
151,7550,0.0,50.0,87.72360348701477
152,7600,-50.0,50.0,88.91511130332947
153,7650,0.0,50.0,90.09650468826294
154,7700,-50.0,50.0,91.37213826179504
155,7750,-50.0,50.0,92.61651587486267
156,7800,-50.0,50.0,93.82155656814575
157,7850,-50.0,50.0,95.12854027748108
158,7900,-50.0,50.0,96.16443467140198
159,7950,-50.0,50.0,97.18891477584839
160,8000,-50.0,50.0,98.24712300300598
161,8050,-50.0,50.0,99.24180626869202
162,8100,-50.0,50.0,100.18566465377808
163,8150,0.0,50.0,101.17587852478027
164,8200,-50.0,50.0,102.13231444358826
165,8250,-50.0,50.0,103.13373303413391
166,8300,-50.0,50.0,104.06831121444702
167,8350,-50.0,50.0,105.02376580238342
168,8400,-50.0,50.0,105.98841500282288
169,8450,-50.0,50.0,106.93316435813904
170,8500,0.0,50.0,107.90546560287476
171,8550,-50.0,50.0,108.85331773757935
172,8600,-50.0,50.0,109.85389804840088
173,8650,-50.0,50.0,110.78335213661194
174,8700,-50.0,50.0,111.77279567718506
175,8750,-50.0,50.0,112.71518063545227
176,8800,-50.0,50.0,113.67110848426819
177,8850,0.0,50.0,114.62972784042358
178,8900,-50.0,50.0,115.6025857925415
179,8950,-50.0,50.0,116.57738471031189
180,9000,-50.0,50.0,117.52930450439453
181,9050,-50.0,50.0,118.51876854896545
182,9100,-50.0,50.0,119.46357846260071
183,9150,-50.0,50.0,120.43942475318909
184,9200,-50.0,50.0,121.38778328895569
185,9250,-50.0,50.0,122.34063982963562
186,9300,-50.0,50.0,123.32315468788147
187,9350,-50.0,50.0,124.27501773834229
188,9400,-50.0,50.0,125.24989366531372
189,9450,-50.0,50.0,126.19871091842651
190,9500,-50.0,50.0,127.18754291534424
191,9550,-50.0,50.0,128.13842868804932
192,9600,-50.0,50.0,129.1053671836853
193,9650,-50.0,50.0,130.04977774620056
194,9700,-50.0,50.0,130.9896810054779
195,9750,-50.0,50.0,131.96758675575256
196,9800,-50.0,50.0,132.90198469161987
197,9850,-50.0,50.0,133.90309810638428
198,9900,-50.0,50.0,134.83389544487
199,9950,-50.0,50.0,135.82280802726746
200,10000,-50.0,50.0,136.76064944267273
201,10050,0.0,50.0,138.50164771080017
202,10100,-50.0,50.0,139.43334817886353
203,10150,-50.0,50.0,140.40545868873596
204,10200,-50.0,50.0,141.3934154510498
205,10250,-50.0,50.0,142.41336107254028
206,10300,-50.0,50.0,143.3572814464569
207,10350,-50.0,50.0,144.40400505065918
208,10400,-50.0,50.0,145.36498999595642
209,10450,-50.0,50.0,146.34225463867188
210,10500,-12.0,50.0,147.47098064422607
211,10550,-50.0,50.0,148.49310040473938
212,10600,-50.0,50.0,149.4867866039276
213,10650,-50.0,50.0,150.5027997493744
214,10700,-50.0,50.0,151.6278600692749
215,10750,-50.0,50.0,152.75368309020996
216,10800,-50.0,50.0,153.84104132652283
217,10850,-50.0,50.0,154.83206152915955
218,10900,-50.0,50.0,155.90559244155884
219,10950,-50.0,50.0,156.88705039024353
220,11000,-50.0,50.0,157.91799783706665
221,11050,-50.0,50.0,158.87647080421448
222,11100,-50.0,50.0,159.89586472511292
223,11150,-50.0,50.0,160.84927821159363
224,11200,-50.0,50.0,161.8708267211914
225,11250,-50.0,50.0,162.9699890613556
226,11300,-50.0,50.0,164.0212595462799
227,11350,-50.0,50.0,165.0668981075287
228,11400,-50.0,50.0,166.19230961799622
229,11450,-50.0,50.0,167.20552825927734
230,11500,-50.0,50.0,168.23789811134338
231,11550,-50.0,50.0,169.20005440711975
232,11600,-50.0,50.0,170.21303415298462
233,11650,-50.0,50.0,171.2454948425293
234,11700,-50.0,50.0,172.21483778953552
235,11750,-50.0,50.0,173.26553463935852
236,11800,-50.0,50.0,174.23093485832214
237,11850,-50.0,50.0,175.24981808662415
238,11900,-50.0,50.0,176.35203337669373
239,11950,0.0,50.0,177.35306334495544
240,12000,-50.0,50.0,178.32501792907715
241,12050,-50.0,50.0,179.33844375610352
242,12100,-50.0,50.0,180.43617701530457
243,12150,-50.0,50.0,181.46870279312134
244,12200,-50.0,50.0,182.43663811683655
245,12250,-50.0,50.0,183.41135358810425
246,12300,-50.0,50.0,184.37682700157166
247,12350,-50.0,50.0,185.32485437393188
248,12400,-50.0,50.0,186.33586144447327
249,12450,-50.0,50.0,187.30950593948364
250,12500,-50.0,50.0,188.3015158176422
251,12550,-50.0,50.0,189.26291227340698
252,12600,-50.0,50.0,190.24996280670166
253,12650,-50.0,50.0,191.207172870636
254,12700,-50.0,50.0,192.21331310272217
255,12750,-50.0,50.0,193.22042727470398
256,12800,-50.0,50.0,194.23094081878662
257,12850,-50.0,50.0,195.22520351409912
258,12900,-50.0,50.0,196.19487929344177
259,12950,-50.0,50.0,197.22078585624695
260,13000,-50.0,50.0,198.2062268257141
261,13050,-50.0,50.0,199.1989734172821
262,13100,-50.0,50.0,200.17787837982178
263,13150,-50.0,50.0,201.2002398967743
264,13200,-50.0,50.0,202.15930104255676
265,13250,-50.0,50.0,203.14534521102905
266,13300,-50.0,50.0,204.10719203948975
267,13350,-50.0,50.0,205.1138927936554
268,13400,-50.0,50.0,206.1034483909607
269,13450,-50.0,50.0,207.0730800628662
270,13500,0.0,50.0,208.12630152702332
271,13550,-50.0,50.0,209.14683389663696
272,13600,-50.0,50.0,210.15220284461975
273,13650,-50.0,50.0,211.13515400886536
274,13700,-50.0,50.0,212.1358768939972
275,13750,-50.0,50.0,213.16039085388184
276,13800,-50.0,50.0,214.20494079589844
277,13850,-50.0,50.0,215.1887698173523
278,13900,-50.0,50.0,216.2309215068817
279,13950,-50.0,50.0,217.28042078018188
280,14000,-50.0,50.0,218.28938722610474
281,14050,-50.0,50.0,219.27341842651367
282,14100,-50.0,50.0,220.2705340385437
283,14150,-50.0,50.0,221.25521731376648
284,14200,-50.0,50.0,222.21867084503174
285,14250,-50.0,50.0,223.23481225967407
286,14300,-50.0,50.0,224.2674720287323
287,14350,-50.0,50.0,225.3045825958252
288,14400,-50.0,50.0,226.390469789505
289,14450,-50.0,50.0,227.41496968269348
290,14500,-50.0,50.0,228.40048098564148
291,14550,-50.0,50.0,229.38802528381348
292,14600,-50.0,50.0,230.33948373794556
293,14650,-50.0,50.0,231.3513298034668
294,14700,-50.0,50.0,232.3033106327057
295,14750,-50.0,50.0,233.33498907089233
296,14800,-50.0,50.0,234.35374212265015
297,14850,-50.0,50.0,235.3649115562439
298,14900,-50.0,50.0,236.8326380252838
299,14950,-50.0,50.0,238.06278085708618
300,15000,-50.0,50.0,239.0337655544281
301,15050,0.0,50.0,240.94913482666016
302,15100,0.0,50.0,241.95569896697998
303,15150,-50.0,50.0,243.21840858459473
304,15200,-50.0,50.0,244.22466611862183
305,15250,-50.0,50.0,245.26347661018372
306,15300,-50.0,50.0,246.28000688552856
307,15350,-50.0,50.0,247.32918310165405
308,15400,-50.0,50.0,248.35177302360535
309,15450,-50.0,50.0,249.3494210243225
310,15500,-50.0,50.0,250.29961585998535
311,15550,-50.0,50.0,251.3115816116333
312,15600,-50.0,50.0,252.29203486442566
313,15650,-50.0,50.0,253.32304883003235
314,15700,-50.0,50.0,254.30161309242249
315,15750,-50.0,50.0,255.30073952674866
316,15800,-50.0,50.0,256.30651473999023
317,15850,-50.0,50.0,257.2923367023468
318,15900,-50.0,50.0,258.3699402809143
319,15950,-50.0,50.0,259.32835698127747
320,16000,0.0,50.0,260.35222363471985
321,16050,-50.0,50.0,261.359787940979
322,16100,-50.0,50.0,262.4100618362427
323,16150,-50.0,50.0,263.4654176235199
324,16200,-50.0,50.0,264.5200719833374
325,16250,-50.0,50.0,265.5872046947479
326,16300,-50.0,50.0,266.60109305381775
327,16350,-50.0,50.0,267.601765871048
328,16400,-50.0,50.0,268.8549859523773
329,16450,-50.0,50.0,270.0113916397095
330,16500,-50.0,50.0,271.33459544181824
331,16550,-50.0,50.0,272.6096878051758
332,16600,-50.0,50.0,273.91826272010803
333,16650,-50.0,50.0,275.3620345592499
334,16700,-50.0,50.0,276.5149013996124
335,16750,-50.0,50.0,277.5396852493286
336,16800,-50.0,50.0,278.9070334434509
337,16850,-50.0,50.0,280.1503338813782
338,16900,-50.0,50.0,281.23055720329285
339,16950,-50.0,50.0,282.502032995224
340,17000,-50.0,50.0,283.77617716789246
341,17050,-50.0,50.0,285.07722091674805
342,17100,-50.0,50.0,286.1393382549286
343,17150,-45.0,50.0,287.19109630584717
344,17200,-50.0,50.0,288.5025248527527
345,17250,-50.0,50.0,289.5386106967926
346,17300,-50.0,50.0,290.5994381904602
347,17350,0.0,50.0,291.66908168792725
348,17400,-50.0,50.0,292.81954860687256
349,17450,0.0,50.0,294.19281005859375
350,17500,-50.0,50.0,295.46522665023804
351,17550,-50.0,50.0,296.58286690711975
352,17600,-50.0,50.0,297.7948703765869
353,17650,-50.0,50.0,298.86133193969727
354,17700,-50.0,50.0,299.8859691619873
355,17750,-50.0,50.0,300.91715359687805
356,17800,-50.0,50.0,301.933146238327
357,17850,-50.0,50.0,302.8830466270447
358,17900,-50.0,50.0,304.0011248588562
359,17950,-50.0,50.0,305.0593137741089
360,18000,-50.0,50.0,306.13485169410706
361,18050,-50.0,50.0,307.2021782398224
362,18100,-50.0,50.0,308.24022603034973
363,18150,-50.0,50.0,309.25774478912354
364,18200,-50.0,50.0,310.3121905326843
365,18250,-50.0,50.0,311.410920381546
366,18300,-50.0,50.0,312.4461090564728
367,18350,-50.0,50.0,313.4400866031647
368,18400,-50.0,50.0,314.6803901195526
369,18450,0.0,50.0,315.80169582366943
370,18500,-50.0,50.0,316.83898401260376
371,18550,-50.0,50.0,317.97488951683044
372,18600,-50.0,50.0,319.2304799556732
373,18650,-50.0,50.0,320.27513790130615
374,18700,-50.0,50.0,321.30678939819336
375,18750,-50.0,50.0,322.546911239624
376,18800,-50.0,50.0,323.74109172821045
377,18850,-50.0,50.0,324.87313890457153
378,18900,0.0,50.0,325.8796172142029
379,18950,-50.0,50.0,328.02292704582214
380,19000,-50.0,50.0,329.41552090644836
381,19050,-50.0,50.0,330.7527508735657
382,19100,-50.0,50.0,331.84058475494385
383,19150,-50.0,50.0,332.8753185272217
384,19200,-50.0,50.0,334.01103162765503
385,19250,-50.0,50.0,335.0621280670166
386,19300,-50.0,50.0,336.42177963256836
387,19350,-50.0,50.0,337.8985364437103
388,19400,-50.0,50.0,339.52802300453186
389,19450,-50.0,50.0,340.62420201301575
390,19500,-50.0,50.0,341.63519501686096
391,19550,-50.0,50.0,342.68354845046997
392,19600,0.0,50.0,343.71424198150635
393,19650,-50.0,50.0,344.7213225364685
394,19700,-50.0,50.0,345.69734168052673
395,19750,-50.0,50.0,346.70437836647034
396,19800,0.0,50.0,347.9977056980133
397,19850,0.0,50.0,349.1865119934082
398,19900,-50.0,50.0,350.47980976104736
399,19950,-50.0,50.0,351.73557209968567
400,20000,-50.0,50.0,353.01088523864746
401,20050,0.0,50.0,355.5784718990326
