episode,step,episodic_return,episode_length,elapsed_sec
1,50,-45.0,50.0,0.06014561653137207
2,100,-50.0,50.0,0.11418318748474121
3,150,-50.0,50.0,0.16876769065856934
4,200,-50.0,50.0,0.22085309028625488
5,250,-50.0,50.0,0.27620697021484375
6,300,-50.0,50.0,0.32798051834106445
7,350,-50.0,50.0,0.37735462188720703
8,400,-50.0,50.0,0.42364954948425293
9,450,0.0,50.0,0.47181105613708496
10,500,-50.0,50.0,0.5179753303527832
11,550,-50.0,50.0,0.566558837890625
12,600,-50.0,50.0,0.6134347915649414
13,650,-50.0,50.0,0.6655938625335693
14,700,-50.0,50.0,0.7153506278991699
15,750,-50.0,50.0,0.7624642848968506
16,800,-50.0,50.0,0.8131401538848877
17,850,-50.0,50.0,0.8628008365631104
18,900,-50.0,50.0,0.910973072052002
19,950,-50.0,50.0,0.9596066474914551
20,1000,-50.0,50.0,1.0077731609344482
21,1050,-50.0,50.0,1.0564236640930176
22,1100,0.0,50.0,1.1030614376068115
23,1150,-50.0,50.0,1.1527175903320312
24,1200,-50.0,50.0,1.2008419036865234
25,1250,-50.0,50.0,1.2524492740631104
26,1300,-50.0,50.0,1.3031415939331055
27,1350,-50.0,50.0,1.3497865200042725
28,1400,-50.0,50.0,1.39996337890625
29,1450,-50.0,50.0,1.448587417602539
30,1500,0.0,50.0,1.4991774559020996
31,1550,-50.0,50.0,1.5478219985961914
32,1600,-50.0,50.0,1.595944881439209
33,1650,-50.0,50.0,1.6458408832550049
34,1700,-50.0,50.0,1.6934597492218018
35,1750,-50.0,50.0,1.744075059890747
36,1800,-50.0,50.0,1.7902610301971436
37,1850,-50.0,50.0,1.8398895263671875
38,1900,-50.0,50.0,1.8900337219238281
39,1950,-16.0,50.0,1.942312479019165
40,2000,-50.0,50.0,1.9900381565093994
41,2050,-50.0,50.0,2.039802074432373
42,2100,-50.0,50.0,2.0906169414520264
43,2150,-50.0,50.0,2.1435155868530273
44,2200,-50.0,50.0,2.19366192817688
45,2250,-50.0,50.0,2.24128794670105
46,2300,-50.0,50.0,2.2874386310577393
47,2350,-50.0,50.0,2.339677572250366
48,2400,-50.0,50.0,2.392780303955078
49,2450,-50.0,50.0,2.4448297023773193
50,2500,-50.0,50.0,2.4951436519622803
51,2550,-50.0,50.0,2.5458908081054688
52,2600,-50.0,50.0,2.596060037612915
53,2650,0.0,50.0,2.6456081867218018
54,2700,-50.0,50.0,2.6922600269317627
55,2750,-50.0,50.0,2.7449612617492676
56,2800,-50.0,50.0,2.7926201820373535
57,2850,-50.0,50.0,2.8432726860046387
58,2900,-50.0,50.0,2.888458013534546
59,2950,-50.0,50.0,2.9371097087860107
60,3000,-50.0,50.0,2.9862778186798096
61,3050,-50.0,50.0,3.0337393283843994
62,3100,-50.0,50.0,3.082538366317749
63,3150,0.0,50.0,3.1301937103271484
64,3200,-50.0,50.0,3.1808676719665527
65,3250,-50.0,50.0,3.230147361755371
66,3300,-50.0,50.0,3.282292604446411
67,3350,-50.0,50.0,3.340463161468506
68,3400,-50.0,50.0,3.3906009197235107
69,3450,0.0,50.0,3.4383530616760254
70,3500,-50.0,50.0,3.488504409790039
71,3550,-50.0,50.0,3.540125846862793
72,3600,-50.0,50.0,3.5922749042510986
73,3650,-50.0,50.0,3.642749547958374
74,3700,-50.0,50.0,3.6925125122070312
75,3750,-50.0,50.0,3.7401676177978516
76,3800,-50.0,50.0,3.790341854095459
77,3850,-50.0,50.0,3.8370044231414795
78,3900,0.0,50.0,3.8902499675750732
79,3950,-50.0,50.0,3.9368042945861816
80,4000,-12.0,50.0,3.9835503101348877
81,4050,-50.0,50.0,4.033130884170532
82,4100,-50.0,50.0,4.081198453903198
83,4150,-50.0,50.0,4.129453420639038
84,4200,-50.0,50.0,4.179733037948608
85,4250,-50.0,50.0,4.229573488235474
86,4300,-50.0,50.0,4.278230667114258
87,4350,-50.0,50.0,4.329351425170898
88,4400,-50.0,50.0,4.377875328063965
89,4450,-50.0,50.0,4.423518419265747
90,4500,-50.0,50.0,4.475123643875122
91,4550,-50.0,50.0,4.521744251251221
92,4600,-50.0,50.0,4.576737880706787
93,4650,-50.0,50.0,4.633309602737427
94,4700,-50.0,50.0,4.68255877494812
95,4750,-50.0,50.0,4.731349945068359
96,4800,-50.0,50.0,4.779223918914795
97,4850,-50.0,50.0,4.8303728103637695
98,4900,-50.0,50.0,4.879956483840942
99,4950,-50.0,50.0,4.9307286739349365
100,5000,-50.0,50.0,4.99042820930481
101,5050,-50.0,50.0,6.440110683441162
102,5100,-50.0,50.0,7.162996768951416
103,5150,-50.0,50.0,7.867872714996338
104,5200,-50.0,50.0,8.584028959274292
105,5250,-50.0,50.0,9.337576150894165
106,5300,0.0,50.0,10.048120021820068
107,5350,-50.0,50.0,10.751912355422974
108,5400,-50.0,50.0,11.463990926742554
109,5450,-50.0,50.0,12.192329168319702
110,5500,-35.0,50.0,12.913587093353271
111,5550,0.0,50.0,13.639142751693726
112,5600,-50.0,50.0,14.348982572555542
113,5650,-50.0,50.0,15.08743667602539
114,5700,-50.0,50.0,15.849871635437012
115,5750,-50.0,50.0,16.552687644958496
116,5800,-50.0,50.0,17.290712594985962
117,5850,-50.0,50.0,18.08316683769226
118,5900,-50.0,50.0,18.82778787612915
119,5950,-50.0,50.0,19.549448251724243
120,6000,0.0,50.0,20.326928853988647
121,6050,-50.0,50.0,21.06623339653015
122,6100,-50.0,50.0,21.78472352027893
123,6150,-50.0,50.0,22.516746282577515
124,6200,-50.0,50.0,23.251086711883545
125,6250,-50.0,50.0,23.96928882598877
126,6300,-50.0,50.0,24.69722318649292
127,6350,-50.0,50.0,25.402419328689575
128,6400,-50.0,50.0,26.126376628875732
129,6450,-50.0,50.0,26.85362434387207
130,6500,-50.0,50.0,27.596938371658325
131,6550,-50.0,50.0,28.32074761390686
132,6600,-50.0,50.0,29.085962772369385
133,6650,-50.0,50.0,29.828813076019287
134,6700,-50.0,50.0,30.558290719985962
135,6750,-50.0,50.0,31.325103521347046
136,6800,-50.0,50.0,32.023414611816406
137,6850,-50.0,50.0,32.78712606430054
138,6900,-50.0,50.0,33.52951741218567
139,6950,-50.0,50.0,34.246941804885864
140,7000,-50.0,50.0,34.993223667144775
141,7050,-50.0,50.0,35.75317144393921
142,7100,-50.0,50.0,36.48900055885315
143,7150,-50.0,50.0,37.216100215911865
144,7200,-50.0,50.0,37.926204204559326
145,7250,0.0,50.0,38.66649770736694
146,7300,-50.0,50.0,39.39200305938721
147,7350,-50.0,50.0,40.139477491378784
148,7400,-50.0,50.0,40.870115518569946
