episode,step,episodic_return,episode_length,elapsed_sec
1,50,-50.0,50.0,0.0901639461517334
2,100,-50.0,50.0,0.1822950839996338
3,150,-50.0,50.0,0.2765169143676758
4,200,-50.0,50.0,0.3484668731689453
5,250,-50.0,50.0,0.4276254177093506
6,300,-50.0,50.0,0.5077898502349854
7,350,-50.0,50.0,0.5802595615386963
8,400,-50.0,50.0,0.7059457302093506
9,450,-50.0,50.0,0.7946555614471436
10,500,-50.0,50.0,0.8695495128631592
11,550,-50.0,50.0,0.9495306015014648
12,600,-50.0,50.0,1.0422420501708984
13,650,-50.0,50.0,1.1246719360351562
14,700,-50.0,50.0,1.2142057418823242
15,750,-50.0,50.0,1.2821073532104492
16,800,-50.0,50.0,1.3631811141967773
17,850,-50.0,50.0,1.4380836486816406
18,900,-50.0,50.0,1.5131056308746338
19,950,-50.0,50.0,1.621349573135376
20,1000,-50.0,50.0,1.762101173400879
21,1050,-50.0,50.0,1.8541460037231445
22,1100,-50.0,50.0,1.920607566833496
23,1150,-50.0,50.0,1.9933891296386719
24,1200,-50.0,50.0,2.0647590160369873
25,1250,-50.0,50.0,2.145905017852783
26,1300,-50.0,50.0,2.217012643814087
27,1350,-50.0,50.0,2.2896370887756348
28,1400,-50.0,50.0,2.3697824478149414
29,1450,-50.0,50.0,2.4527740478515625
30,1500,-50.0,50.0,2.5249388217926025
31,1550,-50.0,50.0,2.591794490814209
32,1600,-50.0,50.0,2.663134813308716
33,1650,-50.0,50.0,2.7348008155822754
34,1700,-50.0,50.0,2.803433656692505
35,1750,-50.0,50.0,2.905078172683716
36,1800,-50.0,50.0,2.998277425765991
37,1850,-50.0,50.0,3.0983567237854004
38,1900,-50.0,50.0,3.187007188796997
39,1950,-50.0,50.0,3.272754669189453
40,2000,-50.0,50.0,3.340871572494507
41,2050,-50.0,50.0,3.416058301925659
42,2100,-50.0,50.0,3.493211269378662
43,2150,-50.0,50.0,3.5679168701171875
44,2200,-50.0,50.0,3.6537957191467285
45,2250,-50.0,50.0,3.7677359580993652
46,2300,-50.0,50.0,3.834380626678467
47,2350,-50.0,50.0,3.9081006050109863
48,2400,-50.0,50.0,3.9798455238342285
49,2450,-50.0,50.0,4.0510571002960205
50,2500,-50.0,50.0,4.122587442398071
51,2550,-50.0,50.0,4.217224836349487
52,2600,-50.0,50.0,4.31939959526062
53,2650,-50.0,50.0,4.5102338790893555
54,2700,-50.0,50.0,4.584721088409424
55,2750,-50.0,50.0,4.688506126403809
56,2800,-50.0,50.0,4.763710260391235
57,2850,-50.0,50.0,4.843372106552124
58,2900,-50.0,50.0,4.9221251010894775
59,2950,-50.0,50.0,4.9913434982299805
60,3000,-50.0,50.0,5.0809667110443115
61,3050,-50.0,50.0,5.16471266746521
62,3100,-50.0,50.0,5.242437839508057
63,3150,-50.0,50.0,5.312700033187866
64,3200,-50.0,50.0,5.387323379516602
65,3250,-50.0,50.0,5.4623703956604
66,3300,-50.0,50.0,5.539228200912476
67,3350,-50.0,50.0,5.629003047943115
68,3400,-50.0,50.0,5.702115297317505
69,3450,-50.0,50.0,5.774273872375488
70,3500,-50.0,50.0,5.850021123886108
71,3550,-50.0,50.0,5.928226709365845
72,3600,-50.0,50.0,6.005849838256836
73,3650,-50.0,50.0,6.079016447067261
74,3700,-50.0,50.0,6.155114412307739
75,3750,-50.0,50.0,6.228853940963745
76,3800,-50.0,50.0,6.311140537261963
77,3850,-50.0,50.0,6.390035152435303
78,3900,-50.0,50.0,6.468286752700806
79,3950,-50.0,50.0,6.537577867507935
80,4000,-50.0,50.0,6.658830165863037
81,4050,-50.0,50.0,6.777580261230469
82,4100,-50.0,50.0,6.838434219360352
83,4150,-50.0,50.0,6.8981077671051025
84,4200,-50.0,50.0,6.961815357208252
85,4250,-50.0,50.0,7.019914627075195
86,4300,-50.0,50.0,7.079273223876953
87,4350,-50.0,50.0,7.13844108581543
88,4400,0.0,50.0,7.1971046924591064
89,4450,-50.0,50.0,7.274322986602783
90,4500,-50.0,50.0,7.345884084701538
91,4550,-50.0,50.0,7.403496742248535
92,4600,-50.0,50.0,7.47977614402771
93,4650,-50.0,50.0,7.5531089305877686
94,4700,-50.0,50.0,7.620376110076904
95,4750,-50.0,50.0,7.691646099090576
96,4800,-50.0,50.0,7.766857147216797
97,4850,-50.0,50.0,7.862016916275024
98,4900,-50.0,50.0,8.04183554649353
99,4950,-50.0,50.0,8.117332220077515
100,5000,-50.0,50.0,8.23366117477417
101,5050,-50.0,50.0,11.134686946868896
102,5100,-50.0,50.0,12.402835369110107
103,5150,-50.0,50.0,13.658414602279663
104,5200,-50.0,50.0,15.127071380615234
105,5250,-50.0,50.0,16.440723180770874
106,5300,-50.0,50.0,17.774354219436646
107,5350,-50.0,50.0,19.396005153656006
108,5400,-50.0,50.0,20.928357124328613
109,5450,-50.0,50.0,22.394408702850342
110,5500,-50.0,50.0,23.76055908203125
111,5550,-50.0,50.0,25.11500906944275
112,5600,-50.0,50.0,26.461305379867554
113,5650,-50.0,50.0,27.827595710754395
114,5700,-50.0,50.0,29.12881827354431
115,5750,-50.0,50.0,30.49647068977356
116,5800,-50.0,50.0,31.858394622802734
117,5850,-50.0,50.0,33.14759969711304
118,5900,-50.0,50.0,34.51069402694702
119,5950,-50.0,50.0,35.95208954811096
120,6000,-50.0,50.0,37.27697825431824
121,6050,-50.0,50.0,38.66679048538208
122,6100,-50.0,50.0,40.04763865470886
123,6150,-50.0,50.0,41.434998750686646
124,6200,-50.0,50.0,42.849172830581665
125,6250,-50.0,50.0,44.1929030418396
126,6300,-50.0,50.0,45.76560831069946
127,6350,-50.0,50.0,47.29433012008667
128,6400,-50.0,50.0,48.80802536010742
129,6450,-50.0,50.0,50.559300661087036
130,6500,-50.0,50.0,52.3542275428772
131,6550,-50.0,50.0,54.01655030250549
132,6600,-50.0,50.0,55.67710590362549
133,6650,-50.0,50.0,57.24628949165344
134,6700,-50.0,50.0,58.622347831726074
135,6750,-50.0,50.0,59.99987292289734
136,6800,-50.0,50.0,61.31853199005127
137,6850,-50.0,50.0,62.712281465530396
138,6900,-50.0,50.0,64.0430474281311
139,6950,-50.0,50.0,65.43716549873352
140,7000,-50.0,50.0,66.81087684631348
141,7050,-50.0,50.0,68.15357089042664
142,7100,-50.0,50.0,69.64851808547974
143,7150,-50.0,50.0,71.01397347450256
144,7200,-50.0,50.0,72.36935210227966
145,7250,-50.0,50.0,73.7668342590332
146,7300,-50.0,50.0,75.08299922943115
147,7350,-50.0,50.0,76.45786166191101
148,7400,-50.0,50.0,77.88771772384644
149,7450,-50.0,50.0,79.21091866493225
150,7500,-50.0,50.0,80.57606911659241
151,7550,-50.0,50.0,82.01627826690674
152,7600,-50.0,50.0,83.3584942817688
153,7650,-50.0,50.0,84.71751523017883
154,7700,-50.0,50.0,86.03463888168335
155,7750,-50.0,50.0,87.46553874015808
156,7800,-50.0,50.0,88.84823656082153
157,7850,-50.0,50.0,90.16538572311401
