step,critic_loss,q1_loss,q2_loss,actor_loss,q1_mean,q2_mean,log_pi_mean
5000,0.6144575476646423,0.24808740615844727,0.36637014150619507,-0.359440416097641,-0.1139611080288887,0.05572805553674698,-2.613354206085205
5500,0.403265118598938,0.20194768905639648,0.2013174295425415,0.453729510307312,-0.917976975440979,-0.9193156361579895,-2.7204318046569824
6000,0.4106239676475525,0.20599302649497986,0.20463092625141144,1.260225772857666,-1.6427361965179443,-1.658553123474121,-2.7258424758911133
6500,0.6047372221946716,0.2831277549266815,0.3216094672679901,2.2769973278045654,-2.631801128387451,-2.555821418762207,-2.7099390029907227
7000,0.7995908260345459,0.3548888564109802,0.4447019398212433,3.2141523361206055,-3.4092321395874023,-3.469644546508789,-2.540412425994873
7500,1.1356735229492188,0.4995008707046509,0.6361726522445679,4.265597343444824,-4.392754554748535,-4.496041774749756,-2.2766799926757812
8000,0.7819148302078247,0.32280686497688293,0.45910799503326416,5.265264987945557,-5.43796968460083,-5.425677299499512,-2.33378005027771
8500,1.6690027713775635,0.7713290452957153,0.8976737856864929,6.12476110458374,-6.319218635559082,-6.410643577575684,-1.1496193408966064
9000,1.595841407775879,0.7428908944129944,0.8529505133628845,6.8782243728637695,-7.027177810668945,-7.046926498413086,-0.8058272004127502
9500,1.4769809246063232,0.6684603095054626,0.8085205554962158,7.300808429718018,-7.555072784423828,-7.558333873748779,-0.4695589542388916
10000,1.419426679611206,0.6888648867607117,0.7305617332458496,7.694042205810547,-7.9243855476379395,-7.919001579284668,1.3100584745407104
10500,3.5501980781555176,1.731107473373413,1.819090485572815,8.075233459472656,-8.176841735839844,-8.184393882751465,1.656327724456787
11000,2.9890825748443604,1.4187800884246826,1.5703024864196777,8.086538314819336,-8.407567024230957,-8.376091003417969,1.3131901025772095
11500,3.186065673828125,1.47423255443573,1.711833119392395,7.692767143249512,-8.077147483825684,-8.018899917602539,2.1239781379699707
12000,1.5923268795013428,0.7679466605186462,0.8243802189826965,8.007777214050293,-8.415182113647461,-8.4708251953125,2.657299041748047
12500,3.111354351043701,1.5675201416015625,1.5438342094421387,8.031696319580078,-8.342199325561523,-8.274397850036621,2.029160499572754
13000,2.8060221672058105,1.373185634613037,1.4328365325927734,7.788232326507568,-8.201774597167969,-8.204845428466797,3.014085054397583
13500,1.9765796661376953,0.9767824411392212,0.9997971653938293,7.023009300231934,-7.589712142944336,-7.557182312011719,3.1271984577178955
14000,3.360957145690918,1.6629201173782349,1.6980369091033936,6.927156448364258,-7.396171569824219,-7.310448169708252,3.1564555168151855
