episode,step,episodic_return,episode_length,elapsed_sec
1,50,-50.0,50.0,0.06080293655395508
2,100,-50.0,50.0,0.12187695503234863
3,150,-50.0,50.0,0.1764068603515625
4,200,-50.0,50.0,0.2265028953552246
5,250,0.0,50.0,0.2790815830230713
6,300,-50.0,50.0,0.32897400856018066
7,350,-50.0,50.0,0.3766448497772217
8,400,-50.0,50.0,0.4234757423400879
9,450,-50.0,50.0,0.47019243240356445
10,500,-50.0,50.0,0.516775369644165
11,550,-50.0,50.0,0.5653350353240967
12,600,-50.0,50.0,0.6134116649627686
13,650,0.0,50.0,0.6629781723022461
14,700,-50.0,50.0,0.7120575904846191
15,750,0.0,50.0,0.7598564624786377
16,800,-50.0,50.0,0.8089456558227539
17,850,-50.0,50.0,0.858515739440918
18,900,-50.0,50.0,0.9079456329345703
19,950,-50.0,50.0,0.9567687511444092
20,1000,-50.0,50.0,1.0078456401824951
21,1050,-50.0,50.0,1.057417631149292
22,1100,0.0,50.0,1.104496717453003
23,1150,-50.0,50.0,1.1540729999542236
24,1200,-50.0,50.0,1.2031517028808594
25,1250,-50.0,50.0,1.2537188529968262
26,1300,-50.0,50.0,1.3048040866851807
27,1350,-50.0,50.0,1.352367877960205
28,1400,-50.0,50.0,1.4034485816955566
29,1450,-50.0,50.0,1.45302152633667
30,1500,0.0,50.0,1.5066814422607422
31,1550,-50.0,50.0,1.5543036460876465
32,1600,-50.0,50.0,1.602881669998169
33,1650,-50.0,50.0,1.6525425910949707
34,1700,-50.0,50.0,1.7012450695037842
35,1750,-50.0,50.0,1.748962163925171
36,1800,-50.0,50.0,1.7971224784851074
37,1850,-50.0,50.0,1.8447768688201904
38,1900,-50.0,50.0,1.8964107036590576
39,1950,-50.0,50.0,1.9480323791503906
40,2000,-50.0,50.0,1.9949052333831787
41,2050,-50.0,50.0,2.0467584133148193
42,2100,-50.0,50.0,2.0977399349212646
43,2150,-14.0,50.0,2.1493051052093506
44,2200,-50.0,50.0,2.198451042175293
45,2250,-50.0,50.0,2.245107650756836
46,2300,-50.0,50.0,2.290752410888672
47,2350,-50.0,50.0,2.3409249782562256
48,2400,-50.0,50.0,2.3910694122314453
49,2450,-50.0,50.0,2.4408323764801025
50,2500,-50.0,50.0,2.4893431663513184
51,2550,-50.0,50.0,2.539529323577881
52,2600,-50.0,50.0,2.5876927375793457
53,2650,-50.0,50.0,2.6377902030944824
54,2700,-50.0,50.0,2.684519052505493
55,2750,-50.0,50.0,2.7411386966705322
56,2800,-50.0,50.0,2.7888548374176025
57,2850,-50.0,50.0,2.8384928703308105
58,2900,0.0,50.0,2.8841378688812256
59,2950,-50.0,50.0,2.930790901184082
60,3000,-50.0,50.0,2.980834722518921
61,3050,0.0,50.0,3.028015613555908
62,3100,-50.0,50.0,3.075674533843994
63,3150,0.0,50.0,3.123853921890259
64,3200,-50.0,50.0,3.171492576599121
65,3250,-50.0,50.0,3.2215449810028076
66,3300,-50.0,50.0,3.271437168121338
67,3350,-50.0,50.0,3.330118417739868
68,3400,-50.0,50.0,3.377958297729492
69,3450,-50.0,50.0,3.427164077758789
70,3500,-50.0,50.0,3.4792754650115967
71,3550,-50.0,50.0,3.5309464931488037
72,3600,-50.0,50.0,3.5856122970581055
73,3650,0.0,50.0,3.6389009952545166
74,3700,-50.0,50.0,3.6891050338745117
75,3750,-50.0,50.0,3.736039161682129
76,3800,-50.0,50.0,3.7876627445220947
77,3850,-50.0,50.0,3.834179162979126
78,3900,-50.0,50.0,3.886845588684082
79,3950,-50.0,50.0,3.931541919708252
80,4000,-50.0,50.0,3.978666305541992
81,4050,-50.0,50.0,4.0268394947052
82,4100,-50.0,50.0,4.074479818344116
83,4150,-15.0,50.0,4.124511003494263
84,4200,-50.0,50.0,4.176888704299927
85,4250,-50.0,50.0,4.2250754833221436
86,4300,-50.0,50.0,4.271708726882935
87,4350,-50.0,50.0,4.321584463119507
88,4400,-50.0,50.0,4.369386672973633
89,4450,-50.0,50.0,4.414544582366943
90,4500,-48.0,50.0,4.465204477310181
91,4550,-50.0,50.0,4.513373613357544
92,4600,-50.0,50.0,4.563964366912842
93,4650,-50.0,50.0,4.618035793304443
94,4700,-50.0,50.0,4.665343761444092
95,4750,-50.0,50.0,4.71354079246521
96,4800,-50.0,50.0,4.7611610889434814
97,4850,-50.0,50.0,4.809815883636475
98,4900,-50.0,50.0,4.8564698696136475
99,4950,-50.0,50.0,4.907311201095581
