step,critic_loss,q1_loss,q2_loss,actor_loss,q1_mean,q2_mean,log_pi_mean
50000,0.5421328544616699,0.27083438634872437,0.27129846811294556,-0.5824714303016663,0.0447898730635643,0.04283899813890457,-2.6637930870056152
60000,0.6328912973403931,0.3014776110649109,0.3314136862754822,0.23629632592201233,-0.3471508324146271,-0.2696418762207031,0.3289548456668854
70000,0.8999602794647217,0.4209549129009247,0.479005366563797,6.724472999572754,-6.691916465759277,-6.739409923553467,4.559230804443359
80000,0.5986753106117249,0.3225827217102051,0.2760925889015198,3.932309150695801,-4.018255233764648,-3.979522705078125,3.2315549850463867
90000,4.71967887878418,2.2774062156677246,2.442272663116455,4.260026931762695,-4.18123722076416,-4.385880947113037,3.6056509017944336
100000,2.0828163623809814,1.0892030000686646,0.9936134219169617,2.755182981491089,-2.820681571960449,-2.8940703868865967,4.030370712280273
110000,2.2619619369506836,1.1109869480133057,1.150974988937378,7.020320415496826,-7.058296203613281,-7.070674419403076,4.195714950561523
120000,1.5915367603302002,0.8361973166465759,0.755339503288269,7.76378059387207,-7.862709045410156,-7.864354133605957,3.8413963317871094
130000,3.750850200653076,1.9541893005371094,1.7966607809066772,5.7414679527282715,-5.905457496643066,-5.972958087921143,4.064782619476318
140000,3.4664955139160156,1.7947677373886108,1.6717278957366943,7.576990127563477,-7.682072162628174,-7.78958797454834,3.9442200660705566
150000,7.242125034332275,3.5650720596313477,3.6770529747009277,8.351017951965332,-8.431439399719238,-8.294118881225586,3.818020820617676
160000,3.0250844955444336,1.5350509881973267,1.4900336265563965,8.07257080078125,-8.204774856567383,-8.330423355102539,4.138251781463623
170000,7.531620979309082,3.506897211074829,4.024724006652832,5.005365371704102,-5.046138763427734,-5.178919792175293,3.7332353591918945
180000,2.7331433296203613,1.2782917022705078,1.454851508140564,5.449057579040527,-5.391019821166992,-5.569812774658203,3.53900408744812
190000,7.1247639656066895,3.5001728534698486,3.624591112136841,7.372246742248535,-7.488705635070801,-7.546669960021973,3.786221504211426
200000,4.630042552947998,2.2517693042755127,2.3782732486724854,10.452717781066895,-10.569864273071289,-10.594854354858398,4.149050712585449
210000,5.435779571533203,2.6025664806365967,2.8332128524780273,11.162179946899414,-11.228693962097168,-11.218894958496094,3.9880313873291016
220000,2.586148500442505,1.2179151773452759,1.368233323097229,9.854737281799316,-10.017422676086426,-10.08654499053955,3.8991589546203613
230000,4.101940155029297,1.4575861692428589,2.6443541049957275,10.393119812011719,-10.63485336303711,-10.484862327575684,4.229732990264893
240000,3.768486976623535,1.5630357265472412,2.205451250076294,9.375507354736328,-9.379467010498047,-9.542909622192383,4.0600457191467285
250000,1.6890575885772705,0.7966984510421753,0.8923591375350952,6.5574822425842285,-6.761629104614258,-6.697525978088379,3.97125506401062
260000,1.9640787839889526,1.0701231956481934,0.8939555883407593,8.252429008483887,-8.420589447021484,-8.283516883850098,4.1622443199157715
270000,4.021724224090576,1.9613165855407715,2.0604076385498047,8.778536796569824,-8.89284610748291,-8.843036651611328,4.034692287445068
280000,12.377267837524414,7.314403057098389,5.062865257263184,8.913567543029785,-9.159320831298828,-9.158659934997559,4.312916278839111
290000,2.8547275066375732,1.4298102855682373,1.424917221069336,6.225408554077148,-6.477520942687988,-6.415998935699463,4.0576300621032715
300000,6.169946670532227,2.452700614929199,3.7172460556030273,8.675347328186035,-8.727352142333984,-8.819718360900879,4.243629455566406
310000,4.465376853942871,2.3122682571411133,2.1531083583831787,10.690926551818848,-10.715340614318848,-10.796463012695312,4.3166823387146
320000,2.1636550426483154,1.2586092948913574,0.9050456881523132,8.05124282836914,-8.160515785217285,-8.246620178222656,3.9993302822113037
330000,5.4128828048706055,2.455226182937622,2.9576568603515625,10.830981254577637,-10.892388343811035,-10.796075820922852,4.004168510437012
340000,6.701634407043457,3.346648693084717,3.3549857139587402,9.994945526123047,-10.135488510131836,-10.05565357208252,4.454539775848389
350000,5.448822021484375,2.7772583961486816,2.6715638637542725,6.1736741065979,-6.184977054595947,-6.114282608032227,3.5197370052337646
360000,3.8170981407165527,1.6236169338226318,2.193481206893921,6.330657958984375,-6.399855136871338,-6.4310126304626465,3.8068063259124756
370000,9.790231704711914,4.455896854400635,5.3343353271484375,8.695100784301758,-9.293481826782227,-9.3001127243042,3.8948140144348145
380000,1.50853431224823,0.7534731030464172,0.7550612092018127,9.181516647338867,-9.442974090576172,-9.290229797363281,4.128292560577393
390000,2.695971965789795,1.2202270030975342,1.4757449626922607,10.614986419677734,-10.700932502746582,-10.607429504394531,3.865018606185913
400000,3.455453872680664,1.6302531957626343,1.8252005577087402,9.927740097045898,-10.120902061462402,-10.12415885925293,4.018922328948975
410000,2.000227689743042,1.0537574291229248,0.946470320224762,11.205503463745117,-11.331966400146484,-11.397359848022461,4.053454875946045
420000,2.7905287742614746,1.6480014324188232,1.1425273418426514,9.390031814575195,-9.562785148620605,-9.373226165771484,4.604793548583984
430000,5.431309700012207,3.1695990562438965,2.2617106437683105,10.329898834228516,-10.500319480895996,-10.470743179321289,3.8625011444091797
440000,4.297011375427246,2.0108742713928223,2.2861368656158447,10.134709358215332,-10.431126594543457,-10.349077224731445,4.226119518280029
450000,3.0030641555786133,1.384998083114624,1.6180660724639893,11.28660774230957,-11.298590660095215,-11.309816360473633,4.226057052612305
460000,5.983697891235352,2.820634126663208,3.1630635261535645,9.371207237243652,-9.446894645690918,-9.53378963470459,3.495500087738037
470000,3.0676913261413574,1.7500464916229248,1.3176449537277222,10.311223983764648,-10.42903995513916,-10.519299507141113,3.8979239463806152
480000,3.9478535652160645,1.3943047523498535,2.553548812866211,9.770379066467285,-9.807682037353516,-9.782421112060547,4.365857124328613
490000,1.5692651271820068,0.6390945911407471,0.930170476436615,9.738024711608887,-9.652851104736328,-9.813758850097656,4.05991268157959
500000,4.697453498840332,2.0198001861572266,2.6776535511016846,8.796670913696289,-8.943249702453613,-8.892812728881836,4.002217769622803
510000,2.2907488346099854,1.1350815296173096,1.1556673049926758,9.556389808654785,-9.537191390991211,-9.605077743530273,4.128880023956299
520000,3.5984764099121094,1.916858434677124,1.6816178560256958,8.495763778686523,-8.735562324523926,-8.586113929748535,4.17772102355957
530000,6.9375762939453125,2.395036458969116,4.542540073394775,8.574579238891602,-8.985623359680176,-9.113482475280762,4.207052707672119
540000,2.6161842346191406,1.1042176485061646,1.5119664669036865,8.006852149963379,-7.991612434387207,-8.122978210449219,4.073836803436279
550000,2.139587640762329,1.3196516036987305,0.8199360370635986,7.1441144943237305,-7.339486122131348,-7.279777526855469,4.021873474121094
560000,3.1413698196411133,1.6942167282104492,1.4471529722213745,7.376998424530029,-7.582190990447998,-7.563876152038574,4.101388454437256
570000,2.692305326461792,1.4410057067871094,1.2512996196746826,8.30723762512207,-8.440502166748047,-8.231812477111816,4.413640022277832
580000,3.2736148834228516,2.354119300842285,0.9194955229759216,10.928694725036621,-10.90857982635498,-10.900814056396484,4.176222801208496
590000,2.677750587463379,1.3101215362548828,1.367629051208496,9.272695541381836,-9.43149471282959,-9.417373657226562,4.475017547607422
600000,5.924755096435547,2.6541006565093994,3.2706542015075684,9.70532512664795,-9.929529190063477,-9.853594779968262,3.7607674598693848
610000,2.0522589683532715,1.1069644689559937,0.9452945590019226,10.92271900177002,-10.85770034790039,-11.053997039794922,4.674856662750244
620000,2.8078060150146484,1.6004674434661865,1.207338571548462,8.304040908813477,-8.39334487915039,-8.290369033813477,3.7689640522003174
630000,4.536498069763184,2.3807082176208496,2.155790090560913,10.194489479064941,-10.456751823425293,-10.541438102722168,4.0455851554870605
640000,5.656310558319092,3.3698697090148926,2.286440849304199,8.55152416229248,-8.897381782531738,-8.89349365234375,4.167220592498779
650000,1.6317212581634521,0.6417176723480225,0.9900035858154297,9.821375846862793,-9.974069595336914,-9.868928909301758,3.9889073371887207
660000,5.231324195861816,1.8813719749450684,3.349952220916748,8.286236763000488,-8.828644752502441,-8.821379661560059,3.8087894916534424
670000,4.214898109436035,2.050055503845215,2.1648428440093994,10.741786003112793,-11.31176471710205,-11.216375350952148,3.8447632789611816
680000,4.253719806671143,2.098513603210449,2.1552062034606934,9.186962127685547,-9.569894790649414,-9.357566833496094,3.783149242401123
690000,3.3436279296875,1.8727450370788574,1.4708828926086426,9.143610954284668,-9.38241195678711,-9.334195137023926,3.890043020248413
700000,1.1951854228973389,0.5494994521141052,0.6456859707832336,9.37637996673584,-9.414386749267578,-9.411581993103027,3.950791597366333
710000,3.284644842147827,1.7320915460586548,1.5525532960891724,11.432597160339355,-11.530255317687988,-11.436256408691406,4.26703405380249
